name,responsible_for_v,responsible_for_i,receiving_v,receiving_i,prefix_list
Ovid Technologies (Wolters Kluwer Health),1085,371468,2319,376955,10.1161__10.1212__10.1097__10.1213__10.1227__10.1519__10.2106__10.1249__10.1288__10.5435__10.1203__10.11124__10.2459
Springer Science and Business Media LLC,22107,141052,11084,94326,10.1007__10.1186__10.1038__10.1057__10.1140__10.4056__10.1023__10.2165__10.1379__10.3758__10.1245__10.1208__10.1557__10.1617__10.1361__10.17269__10.1385__10.1065__10.1013__10.7603__10.1381__10.1114__10.3858__10.1251
Association for Computing Machinery (ACM),1333,131143,1610,3933,10.1145
Informa UK Limited,8967,88709,8424,35655,10.1080__10.4161__10.3109__10.4324__10.1201__10.2513__10.1207__10.2147__10.3763__10.1198__10.3155__10.1586__10.2167__10.2216__10.1081__10.7158__10.3810__10.1174__10.5175__10.3200__10.5408__10.1623__10.3152__10.3826__10.3137__10.4113__10.3939__10.1582__10.1887__10.5661__10.2976
Wiley,10402,51011,9937,88856,10.1111__10.1002__10.1046__10.1256__10.1634__10.1113__10.2134__10.1348__10.1890__10.2136__10.1034__10.1897__10.3170__10.1118__10.2903__10.2135__10.2746__10.4319__10.3401__10.1196__10.14814__10.3322__10.1359__10.4218__10.1516__10.3162__10.1301__10.2164__10.2966__10.7863__10.4195__10.1592__10.1526__10.1892__10.5054__10.1506
SAGE Publications,3895,54097,430,19891,10.1177__10.1369__10.1258__10.1191__10.5301__10.4135__10.1630__10.1345__10.1243__10.1106__10.4137__10.5367__10.1354__10.2182__10.2511__10.4219__10.2189__10.5034__10.7182__10.1622__10.3821__10.5193__10.2968
Frontiers Media SA,1772,45167,754,4428,10.3389__10.4175__10.3232
Walter de Gruyter GmbH,227,28787,10529,3193,10.2478__10.1515__10.2202__10.1524__10.3884
JSTOR,18,20929,3151,49158,10.2307
Cold Spring Harbor Laboratory,1113,17119,49,5226,10.1101__10.1261
MDPI AG,3318,14714,856,2824,10.3390__10.1989__10.20944__10.35995
Elsevier BV,11867,4775,841,86888,10.1016__10.2139__10.1006__10.1053__10.1205__10.1580__10.1197__10.1054__10.2353__10.1378__10.1067__10.1602__10.1078__10.2111__10.3129__10.14219__10.1240__10.1533__10.1529__10.1331__10.1157__10.4065__10.3816__10.1367__10.1383__10.3182__10.21967__10.3921
Hindawi Limited,887,10574,77,3074,10.1155__10.4061__10.1100__10.5402__10.6064__10.7167__10.3814
IOP Publishing,780,8448,50,4850,10.1070__10.1088__10.1209__10.35848
Franco Angeli,13,9105,0,3,10.3280
Oxford University Press (OUP),1443,5882,726,17751,10.1093__10.1534__10.2146__10.3382
University of California Press,44,7039,182,286,10.1525
Institution of Engineering and Technology (IET),22,6949,1,1734,10.1049
Cambridge University Press (CUP),5459,1234,160,850,10.1017__10.1154__10.1375__10.4039
Baishideng Publishing Group Inc.,290,5044,76,1231,10.3748__10.4252__10.5306__10.5500__10.4254__10.4292__10.11569__10.4331__10.4251__10.12998__10.5312__10.4253__10.5499__10.5498__10.4240__10.5496__10.5316__10.4330__10.5662__10.4239__10.5318__10.5314__10.5317__10.5497__10.4329__10.5313__10.5412__10.5409__10.5528__10.5494__10.13105__10.4291__10.5492__10.5501__10.5493__10.5527__10.5315__10.5319__10.5495__10.5411__10.5410__10.5321__10.5320__10.35712__10.35713
